City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Tiksi,RU,71.6872,128.8694,40.44,85,82,6.17,broken clouds
109,Kavieng,PG,-2.5744,150.7967,79.72,77,97,1.07,light rain
110,Mogadishu,SO,2.0371,45.3438,77.5,83,99,19.22,overcast clouds
111,Verkhneuralsk,RU,53.8769,59.2106,68.2,69,79,15.79,broken clouds
112,Oyama,JP,36.3,139.8,71.58,75,62,2.66,broken clouds
113,Kang,BW,-23.6752,22.7876,60.78,26,0,5.01,clear sky
114,Beitbridge,ZW,-22.2167,30.0,67.84,34,0,5.7,clear sky
115,Bara,NG,10.3744,10.7288,86.88,51,15,6.51,few clouds
116,Koygorodok,RU,60.445,50.9968,48.11,95,41,6.08,scattered clouds
117,San Marcos,US,33.1434,-117.1661,104.23,68,40,1.99,scattered clouds
118,Mizan Teferi,ET,6.9833,35.5833,61.41,97,100,1.14,overcast clouds
119,Uusikaupunki,FI,60.8004,21.4084,64.92,69,27,14.29,scattered clouds
120,Cidreira,BR,-30.1811,-50.2056,56.44,75,82,8.37,broken clouds
121,Chuy,UY,-33.6971,-53.4616,52.56,83,99,11.34,overcast clouds
122,Airai,TL,-8.9266,125.4092,57.65,93,68,3.4,broken clouds
123,Bengkulu,ID,-3.8004,102.2655,75.02,88,100,4.92,overcast clouds
124,Asau,RO,46.4333,26.4,67.39,84,100,5.3,light rain
125,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,87,75,9.22,broken clouds
126,Hambantota,LK,6.1241,81.1185,79.79,81,97,15.64,overcast clouds
127,Husavik,IS,66.0449,-17.3389,44.51,71,93,6.85,overcast clouds
128,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,52.7,54,100,6.93,overcast clouds
129,Pilar,BR,-9.5972,-35.9567,80.53,77,55,9.69,broken clouds
130,Hasaki,JP,35.7333,140.8333,64.29,80,10,11.34,clear sky
131,Swift Current,CA,50.2834,-107.8014,68.81,26,1,12.66,clear sky
132,Walvis Bay,NA,-22.9575,14.5053,57.09,88,2,9.22,clear sky
133,Chervona Sloboda,UA,49.3789,32.1464,69.51,89,100,16.13,overcast clouds
134,Vite,IN,17.2833,74.55,71.56,88,99,16.67,overcast clouds
135,Ciudad Bolivar,VE,8.1222,-63.5497,87.37,55,100,9.89,overcast clouds
136,Tahe,CN,52.3333,124.7333,48.7,96,68,6.17,broken clouds
137,Capaccio,IT,40.4244,15.0809,75.97,75,0,2.08,clear sky
138,Oranjestad,AW,12.524,-70.027,89.55,62,20,21.85,few clouds
139,Pevek,RU,69.7008,170.3133,32.22,93,97,5.12,light snow
140,Sakaiminato,JP,35.55,133.2333,66.18,100,40,1.14,scattered clouds
141,Sao Filipe,CV,14.8961,-24.4956,74.98,74,9,9.6,clear sky
142,Opuwo,NA,-18.0607,13.84,64.78,25,7,4.14,clear sky
143,Carnarvon,AU,-24.8667,113.6333,50.07,47,0,8.05,clear sky
144,Port Alfred,ZA,-33.5906,26.891,64.0,78,0,21.97,clear sky
145,Nuuk,GL,64.1835,-51.7216,45.21,70,20,6.91,few clouds
146,Surt,LY,31.2089,16.5887,74.1,63,0,16.62,clear sky
147,Vaitape,PF,-16.5167,-151.75,80.78,72,90,22.95,overcast clouds
148,Pangnirtung,CA,66.1451,-65.7125,41.0,81,90,9.22,overcast clouds
149,Assiniboia,CA,49.6334,-105.9845,71.51,18,0,14.97,clear sky
150,Berdigestyakh,RU,62.0989,126.6992,57.87,50,100,5.48,overcast clouds
151,Piranshahr,IR,36.701,45.1413,65.77,20,0,5.95,clear sky
152,Saint George,US,37.1041,-113.5841,107.55,13,1,1.99,clear sky
153,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,100,90,4.61,fog
154,Saint-Augustin,CA,51.226,-58.6502,58.91,72,99,12.33,overcast clouds
155,San Antonio,US,29.4241,-98.4936,95.02,54,1,5.75,clear sky
156,Baykit,RU,61.67,96.37,56.01,86,71,1.95,broken clouds
