City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Hobart,AU,2021-06-14 19:50:59,-42.8794,147.3294,51.06,93,90,1.14
120,Kichmengskiy Gorodok,RU,2021-06-14 19:51:00,59.9816,45.7854,57.76,96,53,4.61
121,Zhigansk,RU,2021-06-14 19:51:00,66.7697,123.3711,48.58,81,92,10.6
122,Vardo,NO,2021-06-14 19:51:00,70.3705,31.1107,47.95,93,0,2.3
123,Poya,NC,2021-06-14 19:51:01,-21.35,165.15,71.15,88,91,7.31
124,Sudak,UA,2021-06-14 19:51:01,44.85,34.9667,65.57,79,100,4.92
125,Paramonga,PE,2021-06-14 19:51:01,-10.6667,-77.8333,68.86,78,59,6.64
126,Hanamaki,JP,2021-06-14 19:51:02,39.3833,141.1167,59.56,91,100,1.16
127,Krabi,TH,2021-06-14 19:51:02,8.0726,98.9105,84.97,86,20,0.0
128,Zaysan,KZ,2021-06-14 19:51:03,47.4667,84.8667,55.98,68,8,9.28
129,Merke,KZ,2021-06-14 19:51:03,42.8728,73.1786,57.0,33,0,4.09
130,Arles,FR,2021-06-14 19:51:03,43.6768,4.6303,86.49,57,0,4.61
131,Zharkent,KZ,2021-06-14 19:51:04,44.1628,80.0,59.31,32,3,3.96
132,Chicama,PE,2021-06-14 19:51:04,-7.8447,-79.1469,64.94,73,83,8.5
133,Magadan,RU,2021-06-14 19:51:04,59.5667,150.8,44.83,84,70,7.09
134,Leh,IN,2021-06-14 19:51:05,34.1667,77.5833,50.36,59,53,3.67
135,Sept-Iles,CA,2021-06-14 19:51:06,50.2001,-66.3821,56.05,62,90,8.99
136,Rosetown,CA,2021-06-14 19:51:06,51.5501,-108.0014,89.98,22,2,23.02
137,Lebu,CL,2021-06-14 19:51:06,-37.6167,-73.65,50.97,67,6,19.15
138,San Policarpo,PH,2021-06-14 19:51:07,12.1791,125.5072,77.92,85,100,3.47
139,Ribeira Grande,PT,2021-06-14 19:51:07,38.5167,-28.7,73.8,73,20,5.75
140,Kaeo,NZ,2021-06-14 19:51:07,-35.1,173.7833,61.32,97,100,5.32
141,Huangmei,CN,2021-06-14 19:51:08,30.1924,116.025,79.92,89,100,2.51
142,Ust-Kuyga,RU,2021-06-14 19:51:08,70.0167,135.6,48.94,70,93,1.45
143,Teahupoo,PF,2021-06-14 19:51:08,-17.8333,-149.2667,75.16,80,29,17.18
144,Sao Jose Da Coroa Grande,BR,2021-06-14 19:51:09,-8.8978,-35.1478,77.25,82,25,10.25
145,Sivaki,RU,2021-06-14 19:51:09,52.6333,126.75,60.22,99,100,2.84
146,Hualmay,PE,2021-06-14 19:51:09,-11.0964,-77.6139,68.47,77,46,5.91
147,Bengkulu,ID,2021-06-14 19:51:10,-3.8004,102.2655,75.58,88,87,4.25
148,Henties Bay,NA,2021-06-14 19:51:10,-22.116,14.2845,70.86,49,0,6.06
149,Beringovskiy,RU,2021-06-14 19:51:10,63.05,179.3167,35.58,99,100,4.52
150,Lorengau,PG,2021-06-14 19:51:11,-2.0226,147.2712,82.53,71,81,10.18
151,Jumla,NP,2021-06-14 19:51:11,29.2747,82.1838,58.14,95,100,4.7
152,Rosarito,MX,2021-06-14 19:51:12,32.3333,-117.0333,99.66,60,55,12.26
153,Biak,ID,2021-06-14 19:51:12,-0.9131,122.8766,74.86,87,100,1.41
154,Antofagasta,CL,2021-06-14 19:51:12,-23.65,-70.4,61.88,59,99,6.33
155,Port Hardy,CA,2021-06-14 19:51:13,50.6996,-127.4199,60.98,67,75,3.44
156,Aswan,EG,2021-06-14 19:51:13,24.0934,32.907,87.73,18,0,18.59
157,Haines Junction,CA,2021-06-14 19:51:14,60.7522,-137.5108,62.55,48,61,9.22
158,Gremyachinsk,RU,2021-06-14 19:51:14,58.5603,57.851,59.61,96,100,2.39
159,Badarwas,IN,2021-06-14 19:51:14,24.9667,77.5667,85.57,54,93,7.02
160,Saint-Philippe,RE,2021-06-14 19:51:15,-21.3585,55.7679,71.47,72,47,12.46
161,Sandomierz,PL,2021-06-14 19:51:15,50.6827,21.749,62.92,74,4,3.87
162,Rexburg,US,2021-06-14 19:51:15,43.826,-111.7897,90.43,14,1,8.05
163,Alice Springs,AU,2021-06-14 19:51:16,-23.7,133.8833,45.95,81,0,6.91
164,Salalah,OM,2021-06-14 19:51:16,17.0151,54.0924,82.47,85,7,4.45
165,Tahta,EG,2021-06-14 19:51:16,26.7693,31.5021,86.32,24,5,11.54
166,Alta,NO,2021-06-14 19:51:17,69.9689,23.2717,47.46,66,40,3.44
167,Mana,GF,2021-06-14 19:51:17,5.6592,-53.7767,82.56,74,45,7.87
168,Les Cayes,HT,2021-06-14 19:51:17,18.2,-73.75,84.96,67,96,12.8
169,Treinta Y Tres,UY,2021-06-14 19:51:18,-33.2333,-54.3833,62.71,72,5,6.55
170,Chala,TZ,2021-06-14 19:51:18,-7.5833,31.2667,56.14,48,53,4.14
171,Itarema,BR,2021-06-14 19:51:18,-2.9248,-39.9167,80.55,73,10,15.41
172,Mauganj,IN,2021-06-14 19:51:19,24.6833,81.8833,78.89,86,100,5.17
173,Deep River,CA,2021-06-14 19:51:02,46.1001,-77.4995,60.01,98,100,5.44
174,Mattru,SL,2021-06-14 19:51:19,7.6244,-11.8332,75.13,97,100,3.38
175,La Ronge,CA,2021-06-14 19:51:19,55.1001,-105.2842,79.02,33,75,5.75
176,Acapulco,MX,2021-06-14 19:51:20,16.8634,-99.8901,85.91,67,86,6.58
177,Samarai,PG,2021-06-14 19:51:20,-10.6167,150.6667,79.84,84,22,12.95
